(-0.500000, -0.500000, 0.125000) (-0.500000, -0.500000, 0.125000) (0.000000, 0.000000) 
(-0.250000, -0.500000, 0.234375) (-0.500000, -0.500000, 0.234375) (0.000000, 0.000000) 
(-0.500000, -0.250000, -0.062500) (-0.500000, -0.500000, -0.062500) (0.000000, 0.000000) 
(-0.500000, -0.250000, -0.062500) (-0.500000, -0.500000, -0.062500) (0.000000, 0.000000) 
(-0.250000, -0.500000, 0.234375) (-0.500000, -0.500000, 0.234375) (-107374176.000000, -107374176.000000) 
(-0.250000, -0.250000, 0.046875) (-0.500000, -0.500000, 0.046875) (0.000000, 0.000000) 
(-0.500000, -0.250000, -0.062500) (-0.500000, -0.250000, -0.062500) (0.000000, 0.000000) 
(-0.250000, -0.250000, 0.046875) (-0.500000, -0.250000, 0.046875) (0.000000, 0.000000) 
(-0.500000, 0.000000, -0.125000) (-0.500000, -0.250000, -0.125000) (0.000000, 0.000000) 
(-0.500000, 0.000000, -0.125000) (-0.500000, -0.250000, -0.125000) (0.000000, 0.000000) 
(-0.250000, -0.250000, 0.046875) (-0.500000, -0.250000, 0.046875) (-107374176.000000, -107374176.000000) 
(-0.250000, 0.000000, -0.015625) (-0.500000, -0.250000, -0.015625) (0.000000, 0.000000) 
(-0.500000, 0.000000, -0.125000) (-0.500000, 0.000000, -0.125000) (0.000000, 0.000000) 
(-0.250000, 0.000000, -0.015625) (-0.500000, 0.000000, -0.015625) (0.000000, 0.000000) 
(-0.500000, 0.250000, -0.062500) (-0.500000, 0.000000, -0.062500) (0.000000, 0.000000) 
(-0.500000, 0.250000, -0.062500) (-0.500000, 0.000000, -0.062500) (0.000000, 0.000000) 
(-0.250000, 0.000000, -0.015625) (-0.500000, 0.000000, -0.015625) (-107374176.000000, -107374176.000000) 
(-0.250000, 0.250000, 0.046875) (-0.500000, 0.000000, 0.046875) (0.000000, 0.000000) 
(-0.500000, 0.250000, -0.062500) (-0.500000, 0.250000, -0.062500) (0.000000, 0.000000) 
(-0.250000, 0.250000, 0.046875) (-0.500000, 0.250000, 0.046875) (0.000000, 0.000000) 
(-0.500000, 0.500000, 0.125000) (-0.500000, 0.250000, 0.125000) (0.000000, 0.000000) 
(-0.500000, 0.500000, 0.125000) (-0.500000, 0.250000, 0.125000) (0.000000, 0.000000) 
(-0.250000, 0.250000, 0.046875) (-0.500000, 0.250000, 0.046875) (-107374176.000000, -107374176.000000) 
(-0.250000, 0.500000, 0.234375) (-0.500000, 0.250000, 0.234375) (0.000000, 0.000000) 
(-0.500000, 0.500000, 0.125000) (-0.500000, 0.500000, 0.125000) (0.000000, 0.000000) 
(-0.250000, 0.500000, 0.234375) (-0.500000, 0.500000, 0.234375) (0.000000, 0.000000) 
(-0.500000, 0.750000, 0.437500) (-0.500000, 0.500000, 0.437500) (0.000000, 0.000000) 
(-0.500000, 0.750000, 0.437500) (-0.500000, 0.500000, 0.437500) (0.000000, 0.000000) 
(-0.250000, 0.500000, 0.234375) (-0.500000, 0.500000, 0.234375) (-107374176.000000, -107374176.000000) 
(-0.250000, 0.750000, 0.546875) (-0.500000, 0.500000, 0.546875) (0.000000, 0.000000) 
(-0.500000, 0.750000, 0.437500) (-0.500000, 0.750000, 0.437500) (0.000000, 0.000000) 
(-0.250000, 0.750000, 0.546875) (-0.500000, 0.750000, 0.546875) (0.000000, 0.000000) 
(-0.500000, 1.000000, 0.875000) (-0.500000, 0.750000, 0.875000) (0.000000, 0.000000) 
(-0.500000, 1.000000, 0.875000) (-0.500000, 0.750000, 0.875000) (0.000000, 0.000000) 
